Razón Social;Gpo de Cliente;ClaseDoc.;Num.Factura;Sector;Canal;Fecha.Doc;Zona.Vtas;Almacen;Denominacion Material;Cantidad UMV;UM.Vtas;Cantidad UMB;UM.Base;Prec.Unitario;Monto Neto;IVA;Importe Final;Doc.Comercial;Cond.Pago;Fec.Venc.;Moneda.Doc.;Status de Anulacion;Doc.Anulac;Grp.Vend;Vendedor;Referencia;Pedido.Vta;Jerarquía 1;Jerarquía 2;Jerarquía 3;UM.Peso;Peso.Fact;Peso.Total;Um.PesoGen;Ramo;Gr.Material;Gr.Articulo;Tipo.Cambio;Mes;Ejercicio;Prec.Unitario 2;Monto Neto 2;IVA 2;Importe Final 2;Conc.Busq;Codigo_Mat;Listas_precios;;Cod_cliente;;Ind_retcl;Ind_auto_retcl;fechahora;CodMot;Tx Motivo;CodVend;OrgVtas
NEGROPRO SOLUCIONES TECNICAS, S.A.;Distribuidores Enf.;Fact. Nac. Ampo.;7000012146;Inyecto Soplado;Venta Directa;20260204;Zona Metropolitana;3000;ENVASE GEL PACK TRANSP TAPA TRANSP;210,000;PZA;210,000;PZA;0,49;102,88;16,46;119,34;Factura;Contado;20260204;USD;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056690;1202009388;Tarro Gel Pack;;;G;9240,000;TO;0,009;Productos De Limpiez;AM-Env. Plásticos;ENVASES PT;0,00000;02;2026;0,49;102,88;16,46;119,34;NEGROPRO;70000051;Precio Base General;Distribuidor;0010001076;17;01;X;20.02.2026 - 22:04:07;;;00120005;1200
GUSTAVO JOSE PINTO RAMOS;Distribuidores Enf.;Fact. Nac. Ampo.;7000012156;Inyecto Soplado;Distribuidor;20260206;Zona Centro Occid.;3000;ENVASE PET AMBAR FARMA 120 ML (18gr);351,000;PZA;351,000;PZA;76,19;26742,87;4278,86;31021,73;Factura;Contado;20260206;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056700;1202009396;Farma S/Impresión;Ambar;120 ml.;G;6318,000;TO;0,006;Comercializadora;AM-Farma;ENVASES PT;381,10740;02;2026;0,20;70,17;11,23;81,40;GUSTAVO;70000667;Precio Base General;Distribuidor;0010001125;17;01;X;20.02.2026 - 22:04:07;;;00120005;1200
GUSTAVO JOSE PINTO RAMOS;Distribuidores Enf.;Fact. Nac. Ampo.;7000012156;Inyecto Soplado;Distribuidor;20260206;Zona Centro Occid.;3000;ENVASE PET AMBAR FARMA 180 ML;616,000;PZA;616,000;PZA;97,32;59947,84;9591,65;69539,49;Factura;Contado;20260206;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056700;1202009396;Farma S/Impresión;Ambar;180 ml.;G;14556,080;TO;0,015;Comercializadora;AM-Farma;ENVASES PT;381,10740;02;2026;0,26;157,30;25,17;182,47;GUSTAVO;70000058;Precio Base General;Distribuidor;0010001125;17;01;X;20.02.2026 - 22:04:07;;;00120005;1200
GUSTAVO JOSE PINTO RAMOS;Distribuidores Enf.;Fact. Nac. Ampo.;7000012156;Inyecto Soplado;Distribuidor;20260206;Zona Centro Occid.;3000;ENVASE PET AMBAR FARMA 240 ML;1120,000;PZA;1120,000;PZA;97,32;108996,08;17439,38;126435,46;Factura;Contado;20260206;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056700;1202009396;Farma S/Impresión;Ambar;240 ml.;G;25670,400;TO;0,026;Comercializadora;AM-Farma;ENVASES PT;381,10740;02;2026;0,26;286,00;45,76;331,76;GUSTAVO;70000059;Precio Base General;Distribuidor;0010001125;17;01;X;20.02.2026 - 22:04:07;;;00120005;1200
GUSTAVO JOSE PINTO RAMOS;Distribuidores Enf.;Fact. Nac. Ampo.;7000012187;Inyecto Soplado;Distribuidor;20260220;Zona Centro Occid.;3000;ENVASE PET AMBAR FARMA 240 ML;2240,000;PZA;2240,000;PZA;103,46;231744,80;37079,17;268823,97;Factura;Contado;20260220;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056738;1202009416;Farma S/Impresión;Ambar;240 ml.;G;51340,800;TO;0,051;Comercializadora;AM-Farma;ENVASES PT;402,33430;02;2026;0,26;576,00;92,16;668,16;GUSTAVO;70000059;Precio Base General;Distribuidor;0010001125;17;01;X;20.02.2026 - 22:04:07;;;00120005;1200
GUSTAVO JOSE PINTO RAMOS;Distribuidores Enf.;Fact. Nac. Ampo.;7000012187;Inyecto Soplado;Distribuidor;20260220;Zona Centro Occid.;3000;ENVASE PET AMBAR FARMA 120 ML (18gr);468,000;PZA;468,000;PZA;81,00;37906,68;6065,07;43971,75;Factura;Contado;20260220;VED;NA;;GV ClReg. Ampofr.;JORGE REYES;00-056738;1202009416;Farma S/Impresión;Ambar;120 ml.;G;8424,000;TO;0,008;Comercializadora;AM-Farma;ENVASES PT;402,33430;02;2026;0,20;94,22;15,07;109,29;GUSTAVO;70000667;Precio Base General;Distribuidor;0010001125;17;01;X;20.02.2026 - 22:04:07;;;00120005;1200
ALIMENTOS POLAR COMERCIAL, C.A.;Manufactura;Fact. Nac. Ampo.;7000012142;Servicios;Venta Directa;20260203;Zona Metropolitana;;FLETE POR VIAJE CORTINERO;1,000;SER;1,000;SER;318,00;318,00;0,00;318,00;Factura;Crédito 15 Días;20260218;USD;NA;;GV ClReg. Ampofr.;OFICINA AMPOFRASCA;00-056686;1202009387;Servicios Administrat.;;;KG;0,000;TO;0,000;Alimentos;Fletes;FLETE PROD TERMINADO;0,00000;02;2026;318,00;318,00;0,00;318,00;MME-PULMON;91000036;Precio Base General;;0010001154;17;01;X;20.02.2026 - 22:04:07;;;00120002;1200
ALIMENTOS POLAR COMERCIAL, C.A.;Manufactura;Fact. Nac. Ampo.;7000012143;Inyecto Soplado;Venta Directa;20260203;Zona Metropolitana;3000;ENVASE PET MAYONESA 200 ML;18,000;PAL;152064,000;PZA;1370,27;24664,78;3946,36;28611,14;Factura;Crédito 15 Días;20260218;USD;NA;;GV ClReg. Ampofr.;OFICINA AMPOFRASCA;00-056687;1202009386;Especias;Transparente;200 gr.;G;2927232,000;TO;2,927;Alimentos;AM-Especias;ENVASES PT;0,00000;02;2026;1370,27;24664,78;3946,36;28611,14;MME-PULMON;70000666;Precio Base General;;0010001154;17;01;X;20.02.2026 - 22:04:07;;;00120002;1200
ALIMENTOS POLAR COMERCIAL, C.A.;Manufactura;Fact. Nac. Ampo.;7000012144;Servicios;Venta Directa;20260203;Zona Metropolitana;;FLETE POR VIAJE CORTINERO;1,000;SER;1,000;SER;318,00;318,00;0,00;318,00;Factura;Crédito 15 Días;20260218;USD;NA;;GV ClReg. Ampofr.;OFICINA AMPOFRASCA;00-056688;1202009387;Servicios Administrat.;;;KG;0,000;TO;0,000;Alimentos;Fletes;FLETE PROD TERMINADO;0,00000;02;2026;318,00;318,00;0,00;318,00;MME-PULMON;91000036;Precio Base General;;0010001154;17;01;X;20.02.2026 - 22:04:07;;;00120002;1200
ALIMENTOS POLAR COMERCIAL, C.A.;Manufactura;Fact. Nac. Ampo.;7000012151;Inyecto Soplado;Venta Directa;20260205;Zona Metropolitana;3000;ENVASE PET MAYONESA 200 ML;24,000;PAL;202752,000;PZA;1366,80;32803,25;5248,52;38051,77;Factura;Crédito 15 Días;20260220;USD;NA;;GV ClReg. Ampofr.;OFICINA AMPOFRASCA;00-056695;1202009395;Especias;Transparente;200 gr.;G;3902976,000;TO;3,903;Alimentos;AM-Especias;ENVASES PT;0,00000;02;2026;1366,80;32803,25;5248,52;38051,77;MME-PULMON;70000666;Precio Base General;;0010001154;17;01;X;20.02.2026 - 22:04:07;;;00120002;1200
